siren,date_cloture_exercice,default_event,DV,GW,CJ,CK,CO,EE,GF,CG,DL,GP,GU,DX,GG,1A,CF,HN,FW,BM,DY,FS,BY,GA,EA,FV,FZ,HE,DU,BL,FP,FY,FU,FT,FX,FJ,FL,BU,BX,BJ,BK,BT,FC,CHIFFRE_AFFAIRE,RESULTAT_FINANCIER,TOTAL_ACTIF,EXPORT,ACTIF_IMMO,CP,ratio_marge_commerciale,ratio_marge_exploitation,ratio_marge_nette,ratio_duree_credit_client_jours,ratio_duree_credit_fournisseur_jours,ratio_taux_exportation,ratio_actif_immo_sur_ca
434490330,2020-09-30,0,6740447,140908,4945173,196778.5,55064775,37436087,16035509,0,10042880,62308,420444.5,1713781,662975,19051426.5,442818,86280,6948723,0,1914701,74097,95291.5,1738312,82,-21572,699505,13966,5588960.5,346457,168999,4036686,1052137,-16375,709409.5,16250319,16428705,0,1747894.5,37924817.5,18905214.5,31989,77259,16428705,-259123,36185985.5,178386,21461781,10042880,0.4056226459053314,0.040354671898971954,0.005251783387674196,49.644153581591894,64.55453003237871,0.010858189979064084,4.474212217829967
434490330,2021-09-30,0,2478635,-1843746,6248175,196778.5,55064775,37436087,8879320,0,10042880,63136,420444.5,1413772,-1735311,19051426.5,1451971,-1801970,4116228,0,1053690,3838,95291.5,1738312,2165,-9565,371991,830,5588960.5,346457,130477,1572240,105663,9423,327316,71354,158995,0,318863,37924817.5,18905214.5,22566,8956,158995,-259123,36185985.5,0,21461781,10042880,-0.48068334077713265,-0.6105133906279931,-0.6310501543413201,83.39454709998103,101.76287136886125,0,4.474212217829967
434491734,2019-12-31,1,5,31722,436104,63086,2006215,805190,472709,0,34407,0,8127,674219,31722,1201025,7773,-20491,223794,0,96550,5685,63086,45065,0,-46,32412,100292.5,13,12665.5,19235,113768,2907,0,2042,485190,485190,0,82937,1570111,1137939,5681.5,3840,485190,-8127,805190,0,432172,34407,-0.48046875,0.06538057255920361,-0.042232939673117746,12.44463509140749,207.91492253426264,0,0.8907273439271214
434577094,2017-12-31,0,28679,1050046,8325536,2189,27021102,18606870,26293590,0,3928092,1296.5,257447,2938483,1027052,8414232,2670395.5,924137,9107694.5,0,1625403,1100790.5,2189,1216754,59231,-46,693301,100292.5,5588960.5,12665.5,216385,5681273,144022,-16375,611720,21087905,23854199,0,38259,18695566,8412043,169250.5,2124174,23854199,-256150.5,18606870,0,10283523,3928092,0.701121179082139,0.06255620297785452,0.03642228410198214,0.39503135940883866,48.70762540025949,0,0.3702676215002389
434577094,2018-12-31,0,28679,1050046,11411074,2403,32426735,23833032,26293590,0,4675982,169,282477,2322871,1027052,8593704,2670395.5,924137,9107694.5,0,2412730.5,1100790.5,2403,1736424,49515,-46,985939,2493,5588960.5,12665.5,377115,6084011.5,70941,920,709409.5,21087905,23854199,0,73700,21015661,8591300,169250.5,2124174,23854199,-259123,23833031,0,12424361,4675982,0.6940181002607578,0.08749327129510467,0.04854418626843732,0.6022901407367427,30.612200270492863,0,0.3450618457617255
434577094,2019-12-31,0,469780,1050046,6547086,1420,30898511,22208985,26293590,0,2409004,1729,363255,2739395,1027052,8689526,2670395.5,924137,9107694.5,0,2357489,1100790.5,1420,1738312,55742,-46,761686,6262,5588960.5,12665.5,489286,6084011.5,4620,-16375,709409.5,21087905,23854199,0,17838,24351425,8688106,169250.5,2124174,23854199,-259123,22208985,0,15663319,2409004,0.705423440658539,0.09145655542312857,0.04226980751799852,0.15140421922520964,32.771594898754934,0,0.3809529032821064
434577094,2020-12-31,0,5,1050046,10124417,1457,39602981,28561429,26293590,0,3965279,2569,392553,2488597,1027052,11041552,2670395.5,924137,9107694.5,0,2211404,1100790.5,1457,1738312,49841,-46,871994,9356,5588960.5,12665.5,254777,6084011.5,484.5,-16375,709409.5,21087905,23854199,0,68193,29478564,11040095,169250.5,2124174,23854199,-259123,28561429,0,18438469,3965279,0.7116814627332247,0.0704993035982028,0.03948243012514936,0.5149787696817016,29.810965244877853,0,0.46778079960626023
434577094,2021-12-31,0,162997,1050046,9681807,861,40929044,29613620,26293590,0,2528424,1565,420444.5,3013614,1027052,11315425,2670395.5,924137,9107694.5,0,2161680,1100790.5,861,1738312,58975,-46,912820,11141,5588960.5,12665.5,20958,6084011.5,144022,-16375,709409.5,21087905,23854199,0,78393,31247237,11314564,169250.5,2124174,23854199,-259123,29613619,0,19932673,2528424,0.7159855767169835,0.06406142428406196,0.024822155302600225,0.5506042926852548,32.30713447207315,0,0.46538515894063964
434642468,2018-12-31,0,10984,-15189,150856,0,1282334,853713,860486,0,288136,13,9586,33758,-5616,428621,33723,2260,325895,0,15022.5,229383,0,97745,58817,-46,17194,68,446573,602.5,21790,171248,484.5,8659,9057,824653,824653,0,47566,1131478,428621,85924,329999,824653,-9573,853713,0,702857,288136,0.27865842017703085,-0.006810137112215684,0.0027405466299158555,17.54433885120974,18.47640409136903,0,0.8523063640100745
434642468,2019-12-31,0,1356,30656,201705,0,1400370,891340,917030,0,314210,47,8701,37347,39310,509030,85721,45224,325939,0,23023,235280,0,110305,40664,-46,26434,0,461093,602.5,17477,208655,898,-180,8315,937518,937518,0,47566,1198665,509030,86104,352094,937518,-8654,891340,0,689635,314210,0.332280584162184,0.04192986161332369,0.04823800716359579,15.43222814566405,20.208804394814603,0,0.735596543213037
434642468,2020-12-31,0,1923,-56798,232304,0,1503885,902180,741739,0,257686,79,3222,18760,-53655,601705,79755,-37375,289127,0,26446,177512,0,106689,29687,-46,19092,65,556412,602.5,27245,153871,576,-14461,8203,629126,629126,0,47566,1271580,601705,100565,207145,629126,-3143,902180,0,669875,257686,0.21286538415119843,-0.08528498265848176,-0.0594078133791959,22.99696987037043,15.833004668130657,0,1.0647708090271266
434687265,2017-12-31,0,444098,126959,318877,877,1757737,1230602,2082921,0,107579,0,1114,94249,128073,527135,18854,90868,338755,0,182435,20394,0,104766,9698,1779,160730,1568,2663,17911,24014,546761,508772,1031,36665,2173536,2173536,877,92370,1438860,526258,505,25071,2173536,-1114,1230602,0,912602,107579,0.14542698735590923,0.05892379974382757,0.041806530924723584,12.926344445180574,33.029969509513734,0,0.4198697422080886
