siren,date_jugement,nature_jugement
073806689,2017-04-05,Jugement d'ouverture d'une procédure de sauvegarde
075751628,2017-05-23,Jugement d'ouverture d'une procédure de redressement judiciaire
075752022,2019-01-08,Jugement d'ouverture de liquidation judiciaire
076220722,2018-10-16,Jugement d'ouverture de liquidation judiciaire
076320324,2019-09-03,Jugement d'ouverture d'une procédure de sauvegarde
076550102,2017-05-09,Jugement d'ouverture d'une procédure de redressement judiciaire
077141471,2017-09-12,Jugement d'ouverture de liquidation judiciaire
077350015,2017-01-10,Jugement d'ouverture de liquidation judiciaire
077350353,2020-02-13,Jugement d'ouverture d'une procédure de redressement judiciaire
085672160,2017-11-08,Jugement d'ouverture de liquidation judiciaire
085680858,2017-09-13,Jugement d'ouverture de liquidation judiciaire
085780716,2021-03-24,Jugement d'ouverture de liquidation judiciaire
085781797,2019-10-16,Jugement d'ouverture de liquidation judiciaire
085781862,2017-02-08,Jugement d'ouverture de liquidation judiciaire
085880458,2018-11-28,Jugement d'ouverture d'une procédure de redressement judiciaire
086480373,2019-10-17,Jugement d'ouverture de liquidation judiciaire
086580610,2021-09-22,Jugement d'ouverture de liquidation judiciaire
086581071,2019-07-17,Jugement d'ouverture d'une procédure de sauvegarde
087320271,2018-07-03,Jugement d'ouverture de liquidation judiciaire
094124773,2021-12-17,Jugement d'ouverture d'une procédure de redressement judiciaire
094124914,2016-04-11,Jugement d'ouverture de liquidation judiciaire
094124914,2016-04-11,Jugement d'ouverture de liquidation judiciaire
094130994,2021-06-25,Jugement d'ouverture d'une procédure de redressement judiciaire
094134962,2018-10-02,Jugement d'ouverture d'une procédure de redressement judiciaire
094134962,2018-12-21,Jugement d'ouverture d'une procédure de redressement judiciaire
095680468,2019-09-18,Jugement d'ouverture de liquidation judiciaire
095880704,2020-07-01,Jugement d'ouverture d'une procédure de redressement judiciaire
095920179,2021-09-07,Jugement d'ouverture d'une procédure de redressement judiciaire
096180849,2019-07-02,Jugement d'ouverture d'une procédure de redressement judiciaire
096980222,2019-05-21,Jugement d'ouverture d'une procédure de redressement judiciaire
097180426,2017-03-22,Jugement d'ouverture d'une procédure de sauvegarde
097380687,2019-09-10,Jugement d'ouverture d'une procédure de redressement judiciaire
252289781,2018-03-23,Jugement d'ouverture de liquidation judiciaire
300002409,2019-12-04,Jugement d'ouverture de liquidation judiciaire
300022795,2017-05-02,Jugement d'ouverture d'une procédure de redressement judiciaire
300068640,2017-12-20,Jugement d'ouverture de liquidation judiciaire
300071990,2018-06-25,Jugement d'ouverture de liquidation judiciaire
300094570,2019-09-10,Jugement d'ouverture de liquidation judiciaire
300095544,2021-10-05,Jugement d'ouverture d'une procédure de sauvegarde
300110384,2021-09-02,Jugement d'ouverture de liquidation judiciaire
300110392,2020-10-13,Jugement d'ouverture de liquidation judiciaire
300116035,2021-02-09,Jugement d'ouverture de liquidation judiciaire
300166410,2021-02-17,Jugement d'ouverture d'une procédure de redressement judiciaire
300196920,2019-08-21,Jugement d'ouverture de liquidation judiciaire
300210044,2018-12-19,Jugement d'ouverture de liquidation judiciaire
300230943,2017-09-07,Jugement d'ouverture de liquidation judiciaire
300246931,2018-01-12,Jugement d'ouverture d'une procédure de sauvegarde
300247046,2019-05-23,Jugement d'ouverture de liquidation judiciaire
300247087,2019-03-28,Jugement d'ouverture de liquidation judiciaire
300268521,2021-11-23,Jugement d'ouverture de liquidation judiciaire
