siren,date_jugement,nature_jugement
440472728,2018-06-11,Jugement d'ouverture d'une procédure de redressement judiciaire
440474419,2020-06-15,Jugement d'ouverture d'une procédure de redressement judiciaire
440479186,2018-03-05,Jugement d'ouverture de liquidation judiciaire
440481224,2018-09-18,Jugement d'ouverture de liquidation judiciaire
440482735,2020-01-30,Jugement d'ouverture d'une procédure de redressement judiciaire
440483774,2017-07-26,Jugement d'ouverture de liquidation judiciaire
440486181,2019-11-04,Jugement d'ouverture de liquidation judiciaire
440489821,2018-03-23,Jugement d'ouverture de liquidation judiciaire
440491389,2018-06-06,Jugement d'ouverture de liquidation judiciaire
440497337,2019-10-04,Jugement d'ouverture de liquidation judiciaire
440505501,2021-12-15,Jugement d'ouverture de liquidation judiciaire
440506384,2017-07-26,Jugement d'ouverture d'une procédure de sauvegarde
440511426,2021-03-02,Jugement d'ouverture de liquidation judiciaire
440514156,2018-05-15,Jugement d'ouverture de liquidation judiciaire
440515203,2019-03-19,Jugement d'ouverture d'une procédure de redressement judiciaire
440519387,2021-01-20,Jugement d'ouverture de liquidation judiciaire
440521128,2018-02-22,Jugement d'ouverture de liquidation judiciaire
440524858,2018-04-30,Jugement d'ouverture de liquidation judiciaire
440526002,2017-08-30,Jugement d'ouverture de liquidation judiciaire
440532653,2021-03-29,Jugement d'ouverture de liquidation judiciaire
440534279,2018-10-08,Jugement d'ouverture de liquidation judiciaire
440535516,2020-11-18,Jugement d'ouverture de liquidation judiciaire
440537686,2017-05-31,Jugement d'ouverture d'une procédure de redressement judiciaire
440538213,2021-03-03,Jugement d'ouverture de liquidation judiciaire
440540904,2020-04-28,Jugement d'ouverture d'une procédure de sauvegarde
440545804,2017-10-06,Jugement d'ouverture de liquidation judiciaire
440548774,2021-11-16,Jugement d'ouverture d'une procédure de redressement judiciaire
440550622,2018-03-06,Jugement d'ouverture de liquidation judiciaire
440551497,2020-09-22,Jugement d'ouverture de liquidation judiciaire
440552420,2016-12-21,Jugement d'ouverture d'une procédure de redressement judiciaire
440552628,2019-10-30,Jugement d'ouverture de liquidation judiciaire
440554954,2021-01-12,Jugement d'ouverture de liquidation judiciaire
440555035,2017-01-11,Jugement d'ouverture de liquidation judiciaire
440561512,2018-06-08,Jugement d'ouverture de liquidation judiciaire
440562486,2017-10-26,Jugement d'ouverture de liquidation judiciaire
440563302,2021-05-11,Jugement d'ouverture d'une procédure de sauvegarde
440563864,2021-04-12,Jugement d'ouverture de liquidation judiciaire
440565521,2018-06-01,Jugement d'ouverture de liquidation judiciaire
440565927,2020-05-27,Jugement d'ouverture de liquidation judiciaire
440567667,2017-07-05,Jugement d'ouverture de liquidation judiciaire
440568012,2021-12-14,Jugement d'ouverture d'une procédure de redressement judiciaire
440570729,2021-09-15,Jugement d'ouverture de liquidation judiciaire
440571214,2019-02-20,Jugement d'ouverture de liquidation judiciaire
440571859,2017-01-30,Jugement d'ouverture de liquidation judiciaire
440572568,2018-02-01,Jugement d'ouverture de liquidation judiciaire
440573210,2021-10-19,Jugement d'ouverture de liquidation judiciaire
440576312,2019-06-19,Jugement d'ouverture d'une procédure de redressement judiciaire
440576825,2018-11-06,Jugement d'ouverture de liquidation judiciaire
440576957,2017-06-02,Jugement d'ouverture d'une procédure de redressement judiciaire
440577948,2019-01-10,Jugement d'ouverture de liquidation judiciaire
440583961,2017-02-07,Jugement d'ouverture d'une procédure de redressement judiciaire
440584001,2018-07-02,Jugement d'ouverture de liquidation judiciaire
440587962,2017-07-06,Jugement d'ouverture de liquidation judiciaire
440588580,2019-04-29,Jugement d'ouverture de liquidation judiciaire
440593523,2018-04-04,Jugement d'ouverture de liquidation judiciaire
440596203,2019-05-14,Jugement d'ouverture de liquidation judiciaire
440596658,2017-10-17,Jugement d'ouverture d'une procédure de redressement judiciaire
440603926,2019-02-27,Jugement d'ouverture de liquidation judiciaire
440605285,2019-11-05,Jugement d'ouverture de liquidation judiciaire
440606044,2019-06-26,Jugement d'ouverture d'une procédure de redressement judiciaire
440607547,2021-03-12,Jugement d'ouverture de liquidation judiciaire
440608313,2019-02-06,Jugement d'ouverture d'une procédure de redressement judiciaire
440608552,2017-04-19,Jugement d'ouverture de liquidation judiciaire
440611010,2020-07-06,Jugement d'ouverture d'une procédure de redressement judiciaire
440611010,2021-10-04,Jugement d'ouverture de liquidation judiciaire
440611986,2018-05-14,Jugement d'ouverture d'une procédure de redressement judiciaire
440618585,2021-09-16,Jugement d'ouverture de liquidation judiciaire
440620383,2019-05-22,Jugement d'ouverture de liquidation judiciaire
440621209,2019-07-04,Jugement d'ouverture de liquidation judiciaire
440622314,2017-04-03,Jugement d'ouverture d'une procédure de redressement judiciaire
440623007,2018-04-16,Jugement d'ouverture de liquidation judiciaire
440623569,2019-06-12,Jugement d'ouverture de liquidation judiciaire
440624062,2019-10-04,Jugement d'ouverture d'une procédure de redressement judiciaire
440625929,2019-05-24,Jugement d'ouverture d'une procédure de redressement judiciaire
440625929,2019-05-22,Jugement d'ouverture d'une procédure de redressement judiciaire
440629475,2020-01-22,Jugement d'ouverture de liquidation judiciaire
440629772,2017-06-13,Jugement d'ouverture de liquidation judiciaire
440629962,2018-10-09,Jugement d'ouverture d'une procédure de redressement judiciaire
440632446,2017-11-28,Jugement d'ouverture d'une procédure de sauvegarde
440636686,2018-09-11,Jugement d'ouverture de liquidation judiciaire
440637643,2016-12-20,Jugement d'ouverture de liquidation judiciaire
440638914,2021-01-14,Jugement d'ouverture d'une procédure de redressement judiciaire
440639854,2019-02-06,Jugement d'ouverture de liquidation judiciaire
440640027,2018-07-16,Jugement d'ouverture de liquidation judiciaire
440641793,2017-10-18,Jugement d'ouverture de liquidation judiciaire
440646057,2018-12-04,Jugement d'ouverture de liquidation judiciaire
440648491,2020-11-17,Jugement d'ouverture de liquidation judiciaire
440649861,2019-01-30,Jugement d'ouverture de liquidation judiciaire
440650257,2020-02-12,Jugement d'ouverture d'une procédure de redressement judiciaire
440651784,2019-11-25,Jugement d'ouverture d'une procédure de redressement judiciaire
440652196,2017-02-01,Jugement d'ouverture de liquidation judiciaire
440655777,2018-06-04,Jugement d'ouverture de liquidation judiciaire
440656437,2018-10-15,Jugement d'ouverture d'une procédure de redressement judiciaire
440656932,2019-03-14,Jugement d'ouverture de liquidation judiciaire
440660751,2021-06-22,Jugement d'ouverture de liquidation judiciaire
440661668,2020-09-02,Jugement d'ouverture de liquidation judiciaire
440662930,2018-09-11,Jugement d'ouverture d'une procédure de redressement judiciaire
440664100,2017-11-23,Jugement d'ouverture d'une procédure de sauvegarde
440664167,2019-07-09,Jugement d'ouverture d'une procédure de redressement judiciaire
440670966,2019-11-19,Jugement d'ouverture d'une procédure de redressement judiciaire
440671733,2017-12-12,Jugement d'ouverture de liquidation judiciaire
440671857,2017-02-01,Jugement d'ouverture d'une procédure de redressement judiciaire
440673556,2020-05-13,Jugement d'ouverture de liquidation judiciaire
440674687,2018-02-08,Jugement d'ouverture de liquidation judiciaire
440675619,2018-01-23,Jugement d'ouverture d'une procédure de redressement judiciaire
440676815,2020-06-08,Jugement d'ouverture de liquidation judiciaire
440677045,2017-07-04,Jugement d'ouverture d'une procédure de redressement judiciaire
440677342,2017-10-25,Jugement d'ouverture de liquidation judiciaire
440678365,2017-05-09,Jugement d'ouverture de liquidation judiciaire
440679793,2020-01-07,Jugement d'ouverture de liquidation judiciaire
440682052,2017-09-05,Jugement d'ouverture d'une procédure de redressement judiciaire
440682979,2017-10-04,Jugement d'ouverture de liquidation judiciaire
440685519,2017-07-04,Jugement d'ouverture de liquidation judiciaire
440687036,2017-04-27,Jugement d'ouverture de liquidation judiciaire
440687192,2017-07-21,Jugement d'ouverture de liquidation judiciaire
440689412,2019-11-06,Jugement d'ouverture de liquidation judiciaire
440689784,2018-04-24,Jugement d'ouverture de liquidation judiciaire
440692598,2019-06-18,Jugement d'ouverture d'une procédure de redressement judiciaire
440693935,2017-02-27,Jugement d'ouverture d'une procédure de redressement judiciaire
440696318,2018-01-09,Jugement d'ouverture d'une procédure de redressement judiciaire
440697183,2017-10-26,Jugement d'ouverture de liquidation judiciaire
440697506,2019-09-11,Jugement d'ouverture d'une procédure de redressement judiciaire
440698975,2017-06-28,Jugement d'ouverture de liquidation judiciaire
440701795,2017-09-05,Jugement d'ouverture de liquidation judiciaire
440702470,2020-02-25,Jugement d'ouverture d'une procédure de redressement judiciaire
440703841,2020-02-03,Jugement d'ouverture de liquidation judiciaire
440704401,2021-05-10,Jugement d'ouverture d'une procédure de redressement judiciaire
440704930,2020-06-30,Jugement d'ouverture de liquidation judiciaire
440709871,2019-07-03,Jugement d'ouverture de liquidation judiciaire
440710481,2018-09-17,Jugement d'ouverture de liquidation judiciaire
440710713,2020-02-25,Jugement d'ouverture de liquidation judiciaire
440712172,2017-01-23,Autre jugement d'ouverture
440712321,2019-04-02,Jugement d'ouverture de liquidation judiciaire
440712826,2021-06-07,Jugement d'ouverture de liquidation judiciaire
440713196,2020-08-27,Jugement d'ouverture de liquidation judiciaire
440720373,2019-04-12,Jugement d'ouverture de liquidation judiciaire
440720969,2017-10-10,Jugement d'ouverture d'une procédure de redressement judiciaire
440723666,2019-10-18,Jugement d'ouverture de liquidation judiciaire
440728012,2018-01-30,Jugement d'ouverture de liquidation judiciaire
440733707,2021-11-04,Jugement d'ouverture d'une procédure de redressement judiciaire
440735330,2021-01-22,Jugement d'ouverture de liquidation judiciaire
440738102,2021-09-27,Jugement d'ouverture de liquidation judiciaire
440738557,2021-04-13,Jugement d'ouverture de liquidation judiciaire
440740322,2019-10-09,Jugement d'ouverture de liquidation judiciaire
440742625,2020-02-17,Jugement d'ouverture d'une procédure de redressement judiciaire
440742823,2017-10-25,Jugement d'ouverture d'une procédure de redressement judiciaire
440748358,2020-06-09,Jugement d'ouverture de liquidation judiciaire
440748895,2019-04-10,Jugement d'ouverture de liquidation judiciaire
440749067,2020-11-04,Jugement d'ouverture d'une procédure de redressement judiciaire
440750057,2020-02-26,Jugement d'ouverture de liquidation judiciaire
440752707,2017-03-23,Jugement d'ouverture d'une procédure de redressement judiciaire
440754604,2021-07-07,Jugement d'ouverture de liquidation judiciaire
440755759,2020-07-07,Jugement d'ouverture d'une procédure de redressement judiciaire
440758563,2021-09-15,Jugement d'ouverture de liquidation judiciaire
440759389,2018-04-04,Jugement d'ouverture de liquidation judiciaire
440759520,2018-01-15,Jugement d'ouverture d'une procédure de redressement judiciaire
440760981,2020-09-24,Jugement d'ouverture de liquidation judiciaire
440763621,2020-11-17,Jugement d'ouverture d'une procédure de sauvegarde
440765899,2017-04-11,Jugement d'ouverture d'une procédure de redressement judiciaire
440766145,2018-04-10,Jugement d'ouverture d'une procédure de sauvegarde
440768596,2018-09-24,Jugement d'ouverture de liquidation judiciaire
440769735,2018-07-10,Jugement d'ouverture d'une procédure de redressement judiciaire
440771194,2017-10-18,Jugement d'ouverture d'une procédure de sauvegarde
440774396,2018-01-30,Jugement d'ouverture d'une procédure de redressement judiciaire
440777977,2017-10-05,Jugement d'ouverture de liquidation judiciaire
440781342,2017-02-14,Jugement d'ouverture d'une procédure de redressement judiciaire
440781433,2018-11-06,Jugement d'ouverture de liquidation judiciaire
440782613,2017-05-03,Jugement d'ouverture de liquidation judiciaire
440783421,2018-10-18,Jugement d'ouverture d'une procédure de redressement judiciaire
440784437,2021-10-21,Jugement d'ouverture de liquidation judiciaire
440787885,2019-05-23,Jugement d'ouverture d'une procédure de redressement judiciaire
440789543,2017-10-13,Jugement d'ouverture d'une procédure de redressement judiciaire
440791028,2018-09-24,Jugement d'ouverture d'une procédure de redressement judiciaire
440794030,2017-03-21,Jugement d'ouverture d'une procédure de redressement judiciaire
440795854,2019-10-07,Jugement d'ouverture de liquidation judiciaire
440795920,2021-06-14,Jugement d'ouverture de liquidation judiciaire
440799765,2017-11-21,Jugement d'ouverture d'une procédure de redressement judiciaire
440800811,2018-10-09,Jugement d'ouverture de liquidation judiciaire
440801124,2019-08-07,Jugement d'ouverture de liquidation judiciaire
440802726,2021-07-05,Jugement d'ouverture d'une procédure de redressement judiciaire
440807741,2017-05-09,Jugement d'ouverture de liquidation judiciaire
440811206,2019-01-30,Jugement d'ouverture d'une procédure de redressement judiciaire
440811651,2017-07-06,Jugement d'ouverture de liquidation judiciaire
440812352,2017-03-08,Jugement d'ouverture de liquidation judiciaire
440814366,2017-05-02,Jugement d'ouverture d'une procédure de redressement judiciaire
440815504,2019-05-17,Jugement d'ouverture de liquidation judiciaire
440815603,2020-01-06,Jugement d'ouverture de liquidation judiciaire
440816346,2021-11-18,Jugement d'ouverture de liquidation judiciaire
440816734,2020-12-04,Jugement d'ouverture de liquidation judiciaire
440816908,2021-03-24,Jugement d'ouverture de liquidation judiciaire
440817377,2016-12-13,Jugement d'ouverture de liquidation judiciaire
440820470,2018-07-27,Jugement d'ouverture de liquidation judiciaire
440821080,2019-03-11,Jugement d'ouverture d'une procédure de redressement judiciaire
440821478,2018-07-17,Jugement d'ouverture d'une procédure de redressement judiciaire
440822906,2017-02-23,Jugement d'ouverture de liquidation judiciaire
440825305,2021-03-22,Jugement d'ouverture d'une procédure de redressement judiciaire
440831246,2019-11-06,Jugement d'ouverture d'une procédure de redressement judiciaire
440832749,2021-06-24,Jugement d'ouverture de liquidation judiciaire
440833424,2018-12-17,Jugement d'ouverture de liquidation judiciaire
440833507,2018-10-15,Jugement d'ouverture de liquidation judiciaire
440836971,2020-01-29,Jugement d'ouverture de liquidation judiciaire
440837763,2017-11-15,Jugement d'ouverture de liquidation judiciaire
440839553,2017-10-02,Jugement d'ouverture de liquidation judiciaire
440840130,2019-10-09,Jugement d'ouverture d'une procédure de redressement judiciaire
440841690,2018-04-09,Jugement d'ouverture de liquidation judiciaire
440842177,2017-10-10,Jugement d'ouverture d'une procédure de redressement judiciaire
440842177,2017-10-10,Jugement d'ouverture d'une procédure de redressement judiciaire
440844694,2017-02-08,Jugement d'ouverture de liquidation judiciaire
440844900,2017-05-24,Jugement d'ouverture d'une procédure de redressement judiciaire
440846087,2019-09-30,Jugement d'ouverture de liquidation judiciaire
440846988,2019-10-18,Jugement d'ouverture de liquidation judiciaire
440847267,2019-12-19,Jugement d'ouverture de liquidation judiciaire
440848208,2017-01-27,Jugement d'ouverture de liquidation judiciaire
440849370,2019-10-24,Jugement d'ouverture de liquidation judiciaire
440850899,2018-03-08,Jugement d'ouverture de liquidation judiciaire
440851632,2019-01-28,Jugement d'ouverture de liquidation judiciaire
440855948,2017-06-06,Jugement d'ouverture d'une procédure de redressement judiciaire
440856268,2019-06-20,Jugement d'ouverture de liquidation judiciaire
440856342,2021-06-16,Jugement d'ouverture de liquidation judiciaire
440856557,2018-01-24,Jugement d'ouverture de liquidation judiciaire
440860187,2020-02-04,Jugement d'ouverture d'une procédure de redressement judiciaire
440860948,2017-06-08,Jugement d'ouverture d'une procédure de redressement judiciaire
440865152,2017-06-29,Jugement d'ouverture de liquidation judiciaire
440867505,2016-12-22,Jugement d'ouverture d'une procédure de redressement judiciaire
440867976,2018-10-12,Jugement d'ouverture de liquidation judiciaire
440868131,2020-07-01,Jugement d'ouverture d'une procédure de sauvegarde
440878452,2017-01-05,Jugement d'ouverture de liquidation judiciaire
440881837,2021-11-23,Jugement d'ouverture de liquidation judiciaire
440881902,2017-06-13,Jugement d'ouverture de liquidation judiciaire
440882280,2021-03-25,Jugement d'ouverture de liquidation judiciaire
440882454,2021-03-03,Jugement d'ouverture d'une procédure de redressement judiciaire
440884179,2017-04-25,Jugement d'ouverture de liquidation judiciaire
440884989,2017-09-26,Jugement d'ouverture de liquidation judiciaire
440890218,2019-05-21,Jugement d'ouverture de liquidation judiciaire
440891182,2019-12-09,Jugement d'ouverture de liquidation judiciaire
440892578,2017-08-16,Jugement d'ouverture de liquidation judiciaire
440893113,2017-03-13,Jugement d'ouverture de liquidation judiciaire
440893733,2020-06-25,Jugement d'ouverture de liquidation judiciaire
440894558,2021-12-14,Jugement d'ouverture d'une procédure de redressement judiciaire
440895084,2018-11-19,Jugement d'ouverture de liquidation judiciaire
440895274,2020-01-22,Jugement d'ouverture d'une procédure de redressement judiciaire
440896462,2020-10-15,Jugement d'ouverture de liquidation judiciaire
440897445,2018-05-02,Jugement d'ouverture d'une procédure de redressement judiciaire
440902526,2017-11-15,Jugement d'ouverture d'une procédure de redressement judiciaire
440903060,2017-11-13,Jugement d'ouverture d'une procédure de redressement judiciaire
440904357,2017-09-20,Jugement d'ouverture de liquidation judiciaire
440904878,2019-07-01,Jugement d'ouverture d'une procédure de redressement judiciaire
440907525,2021-11-17,Jugement d'ouverture de liquidation judiciaire
440907889,2020-07-23,Jugement d'ouverture de liquidation judiciaire
440909984,2016-12-13,Jugement d'ouverture de liquidation judiciaire
440910065,2020-02-18,Jugement d'ouverture de liquidation judiciaire
440911832,2021-11-17,Jugement d'ouverture de liquidation judiciaire
440914448,2019-10-07,Autre jugement d'ouverture
440916351,2021-01-21,Jugement d'ouverture de liquidation judiciaire
440924611,2018-11-13,Jugement d'ouverture d'une procédure de sauvegarde
440929495,2017-05-04,Jugement d'ouverture de liquidation judiciaire
440930089,2018-09-04,Jugement d'ouverture d'une procédure de redressement judiciaire
440931293,2020-01-15,Jugement d'ouverture d'une procédure de redressement judiciaire
440934297,2020-11-24,Jugement d'ouverture de liquidation judiciaire
440935054,2017-05-09,Jugement d'ouverture de liquidation judiciaire
440938454,2019-10-11,Jugement d'ouverture d'une procédure de redressement judiciaire
440939981,2017-12-05,Jugement d'ouverture d'une procédure de redressement judiciaire
440941367,2017-07-26,Jugement d'ouverture d'une procédure de redressement judiciaire
440944817,2018-03-09,Jugement d'ouverture d'une procédure de redressement judiciaire
440945178,2017-02-07,Jugement d'ouverture de liquidation judiciaire
440947976,2018-03-21,Jugement d'ouverture de liquidation judiciaire
440948644,2017-06-02,Jugement d'ouverture d'une procédure de redressement judiciaire
440954618,2019-05-22,Jugement d'ouverture de liquidation judiciaire
440956431,2018-12-18,Jugement d'ouverture d'une procédure de redressement judiciaire
440957132,2020-01-06,Jugement d'ouverture de liquidation judiciaire
440957702,2017-04-10,Jugement d'ouverture d'une procédure de redressement judiciaire
440958866,2017-02-21,Jugement d'ouverture de liquidation judiciaire
440959625,2018-01-15,Jugement d'ouverture de liquidation judiciaire
440962876,2017-02-08,Jugement d'ouverture d'une procédure de redressement judiciaire
440963981,2019-06-28,Jugement d'ouverture d'une procédure de redressement judiciaire
440966786,2017-04-04,Jugement d'ouverture d'une procédure de redressement judiciaire
440968675,2020-03-16,Jugement d'ouverture d'une procédure de redressement judiciaire
440973931,2018-03-21,Jugement d'ouverture de liquidation judiciaire
440975803,2017-01-10,Jugement d'ouverture de liquidation judiciaire
440975936,2019-07-23,Jugement d'ouverture d'une procédure de redressement judiciaire
440976876,2017-04-26,Jugement d'ouverture de liquidation judiciaire
440977965,2020-07-07,Jugement d'ouverture de liquidation judiciaire
440979011,2018-06-21,Jugement d'ouverture d'une procédure de redressement judiciaire
440979318,2017-03-07,Jugement d'ouverture d'une procédure de redressement judiciaire
440983609,2021-12-14,Jugement d'ouverture de liquidation judiciaire
440985117,2018-07-05,Jugement d'ouverture de liquidation judiciaire
440987329,2019-10-08,Jugement d'ouverture de liquidation judiciaire
440987782,2018-12-18,Jugement d'ouverture de liquidation judiciaire
440991313,2017-05-31,Jugement d'ouverture d'une procédure de redressement judiciaire
440992410,2017-12-05,Jugement d'ouverture d'une procédure de redressement judiciaire
440993707,2019-10-07,Jugement d'ouverture d'une procédure de redressement judiciaire
440998342,2020-07-08,Jugement d'ouverture de liquidation judiciaire
440999712,2018-01-19,Jugement d'ouverture d'une procédure de redressement judiciaire
440999753,2019-10-15,Jugement d'ouverture de liquidation judiciaire
441000999,2019-12-04,Jugement d'ouverture de liquidation judiciaire
441004322,2021-06-07,Jugement d'ouverture de liquidation judiciaire
441004694,2018-03-01,Jugement d'ouverture d'une procédure de redressement judiciaire
441010584,2018-03-08,Jugement d'ouverture de liquidation judiciaire
441013349,2017-09-26,Jugement d'ouverture d'une procédure de redressement judiciaire
441013372,2017-04-18,Jugement d'ouverture de liquidation judiciaire
441023009,2021-10-05,Jugement d'ouverture de liquidation judiciaire
441025186,2017-07-20,Jugement d'ouverture d'une procédure de sauvegarde
441026390,2017-12-08,Jugement d'ouverture d'une procédure de redressement judiciaire
441026390,2018-12-07,Jugement d'ouverture de liquidation judiciaire
441027273,2019-02-07,Jugement d'ouverture de liquidation judiciaire
441028065,2017-03-02,Jugement d'ouverture de liquidation judiciaire
441029717,2018-12-03,Jugement d'ouverture d'une procédure de redressement judiciaire
441030244,2018-03-19,Jugement d'ouverture de liquidation judiciaire
441031440,2021-11-23,Jugement d'ouverture de liquidation judiciaire
441040029,2018-02-22,Jugement d'ouverture de liquidation judiciaire
441040979,2018-01-30,Jugement d'ouverture de liquidation judiciaire
441042090,2018-02-27,Jugement d'ouverture de liquidation judiciaire
441043890,2020-03-11,Jugement d'ouverture d'une procédure de redressement judiciaire
441049616,2018-09-18,Jugement d'ouverture de liquidation judiciaire
441050655,2017-05-23,Jugement d'ouverture d'une procédure de redressement judiciaire
441052693,2017-11-20,Jugement d'ouverture de liquidation judiciaire
441054616,2017-07-07,Jugement d'ouverture d'une procédure de redressement judiciaire
441054616,2017-07-26,Jugement d'ouverture d'une procédure de redressement judiciaire
441058146,2017-09-14,Jugement d'ouverture de liquidation judiciaire
441058484,2019-02-04,Jugement d'ouverture d'une procédure de redressement judiciaire
441058856,2018-08-27,Jugement d'ouverture de liquidation judiciaire
441060746,2018-06-08,Jugement d'ouverture d'une procédure de redressement judiciaire
441060944,2017-09-28,Jugement d'ouverture de liquidation judiciaire
441061041,2020-07-29,Jugement d'ouverture d'une procédure de redressement judiciaire
441061165,2018-06-01,Jugement d'ouverture d'une procédure de sauvegarde
441061702,2017-12-28,Jugement d'ouverture de liquidation judiciaire
441063807,2018-03-29,Jugement d'ouverture de liquidation judiciaire
441064268,2019-03-12,Jugement d'ouverture d'une procédure de redressement judiciaire
441068186,2017-05-17,Jugement d'ouverture de liquidation judiciaire
441069176,2019-02-26,Autre jugement d'ouverture
441069176,2020-07-27,Jugement d'ouverture de liquidation judiciaire
441071149,2017-02-06,Jugement d'ouverture de liquidation judiciaire
441071370,2018-07-24,Jugement d'ouverture d'une procédure de redressement judiciaire
441076742,2020-07-02,Jugement d'ouverture de liquidation judiciaire
441078656,2017-06-12,Jugement d'ouverture d'une procédure de redressement judiciaire
441078854,2019-01-31,Jugement d'ouverture d'une procédure de sauvegarde
441084431,2018-03-14,Jugement d'ouverture de liquidation judiciaire
441085560,2017-04-19,Jugement d'ouverture d'une procédure de redressement judiciaire
441086030,2017-03-08,Jugement d'ouverture d'une procédure de redressement judiciaire
441088044,2021-01-21,Jugement d'ouverture d'une procédure de redressement judiciaire
441089273,2021-02-09,Jugement d'ouverture de liquidation judiciaire
441092061,2017-01-27,Jugement d'ouverture de liquidation judiciaire
441096260,2021-07-08,Jugement d'ouverture de liquidation judiciaire
441096435,2017-03-14,Jugement d'ouverture d'une procédure de redressement judiciaire
441097979,2017-07-04,Jugement d'ouverture de liquidation judiciaire
441100377,2017-04-04,Jugement d'ouverture de liquidation judiciaire
441103173,2021-12-08,Jugement d'ouverture de liquidation judiciaire
441105533,2019-02-05,Jugement d'ouverture d'une procédure de redressement judiciaire
441108487,2020-03-12,Jugement d'ouverture d'une procédure de redressement judiciaire
441120920,2018-11-29,Jugement d'ouverture d'une procédure de redressement judiciaire
441122454,2018-07-11,Jugement d'ouverture de liquidation judiciaire
441124476,2017-06-14,Jugement d'ouverture d'une procédure de redressement judiciaire
441126224,2019-09-09,Jugement d'ouverture d'une procédure de sauvegarde
441127131,2020-03-16,Jugement d'ouverture de liquidation judiciaire
441127792,2019-01-24,Jugement d'ouverture de liquidation judiciaire
441127792,2019-01-24,Jugement d'ouverture de liquidation judiciaire
441132693,2021-01-13,Jugement d'ouverture de liquidation judiciaire
441132925,2019-12-19,Jugement d'ouverture de liquidation judiciaire
441137692,2018-04-13,Jugement d'ouverture de liquidation judiciaire
441145174,2017-01-10,Jugement d'ouverture de liquidation judiciaire
441145471,2017-01-04,Jugement d'ouverture de liquidation judiciaire
441147113,2018-03-06,Jugement d'ouverture d'une procédure de redressement judiciaire
441151206,2018-10-03,Jugement d'ouverture de liquidation judiciaire
441152055,2017-01-04,Jugement d'ouverture d'une procédure de redressement judiciaire
441157047,2019-01-23,Jugement d'ouverture d'une procédure de redressement judiciaire
441158896,2020-05-15,Jugement d'ouverture d'une procédure de redressement judiciaire
441159530,2019-11-22,Jugement d'ouverture d'une procédure de redressement judiciaire
441159530,2020-01-23,Jugement d'ouverture d'une procédure de redressement judiciaire
441160181,2019-11-12,Jugement d'ouverture d'une procédure de redressement judiciaire
441160462,2018-03-21,Jugement d'ouverture de liquidation judiciaire
441160793,2017-08-30,Jugement d'ouverture de liquidation judiciaire
441161437,2017-10-12,Jugement d'ouverture de liquidation judiciaire
441162294,2017-05-29,Jugement d'ouverture d'une procédure de redressement judiciaire
441162427,2021-01-22,Jugement d'ouverture d'une procédure de redressement judiciaire
441162823,2017-11-24,Jugement d'ouverture de liquidation judiciaire
441163532,2017-12-01,Jugement d'ouverture d'une procédure de redressement judiciaire
441164126,2017-12-11,Jugement d'ouverture de liquidation judiciaire
441166675,2021-09-30,Jugement d'ouverture d'une procédure de redressement judiciaire
441168259,2019-07-29,Jugement d'ouverture de liquidation judiciaire
441170487,2017-04-20,Jugement d'ouverture de liquidation judiciaire
441170610,2020-07-03,Jugement d'ouverture d'une procédure de sauvegarde
441172368,2019-01-30,Jugement d'ouverture de liquidation judiciaire
441175585,2020-02-25,Jugement d'ouverture de liquidation judiciaire
441176195,2017-10-11,Jugement d'ouverture de liquidation judiciaire
441176617,2018-07-17,Jugement d'ouverture de liquidation judiciaire
441178126,2018-07-19,Jugement d'ouverture de liquidation judiciaire
441179413,2019-01-09,Jugement d'ouverture de liquidation judiciaire
441180080,2017-10-11,Jugement d'ouverture d'une procédure de redressement judiciaire
441183761,2019-07-10,Jugement d'ouverture de liquidation judiciaire
441185311,2017-01-04,Jugement d'ouverture de liquidation judiciaire
441189354,2017-04-26,Jugement d'ouverture d'une procédure de redressement judiciaire
441190006,2019-01-14,Jugement d'ouverture d'une procédure de redressement judiciaire
441190279,2018-08-07,Jugement d'ouverture de liquidation judiciaire
441194826,2017-08-30,Jugement d'ouverture d'une procédure de redressement judiciaire
441195468,2018-12-05,Jugement d'ouverture d'une procédure de redressement judiciaire
441195906,2019-06-20,Jugement d'ouverture d'une procédure de redressement judiciaire
441197696,2019-01-08,Jugement d'ouverture d'une procédure de redressement judiciaire
441200698,2019-07-10,Jugement d'ouverture de liquidation judiciaire
441204757,2017-01-05,Jugement d'ouverture de liquidation judiciaire
441205226,2019-12-04,Jugement d'ouverture de liquidation judiciaire
441205614,2017-11-24,Jugement d'ouverture de liquidation judiciaire
441205804,2020-02-07,Jugement d'ouverture d'une procédure de redressement judiciaire
441207610,2021-09-15,Jugement d'ouverture d'une procédure de redressement judiciaire
441207750,2021-07-07,Jugement d'ouverture de liquidation judiciaire
441208139,2020-12-08,Jugement d'ouverture de liquidation judiciaire
441211646,2017-11-02,Jugement d'ouverture d'une procédure de redressement judiciaire
441212354,2021-09-08,Jugement d'ouverture de liquidation judiciaire
441214293,2020-04-22,Jugement d'ouverture de liquidation judiciaire
441215365,2020-02-26,Jugement d'ouverture de liquidation judiciaire
441217197,2018-11-02,Jugement d'ouverture de liquidation judiciaire
441218344,2019-05-02,Jugement d'ouverture de liquidation judiciaire
441225034,2018-06-21,Jugement d'ouverture de liquidation judiciaire
441231313,2019-04-30,Jugement d'ouverture d'une procédure de redressement judiciaire
441231693,2018-11-20,Jugement d'ouverture de liquidation judiciaire
